ID,Longitude,Latitude,LocalX,LocalY
234,99.891762,29.514170,-10.494120,-53.848564
235,99.902077,29.514139,-9.494050,-53.852840
236,99.912392,29.514109,-8.493978,-53.857029
237,99.922707,29.514076,-7.493906,-53.861340
238,99.933022,29.514042,-6.493833,-53.865768
239,99.943336,29.514008,-5.493759,-53.870113
240,99.953651,29.513973,-4.493685,-53.874367
241,99.963966,29.513937,-3.493610,-53.878742
242,99.974281,29.513901,-2.493535,-53.883026
243,99.984589,29.513865,-1.494198,-53.887222
244,99.994904,29.513826,-0.494121,-53.891541
245,100.005219,29.513788,0.505957,-53.895767
246,100.015533,29.513748,1.506035,-53.900116
247,100.025848,29.513708,2.506114,-53.904373
248,100.036163,29.513666,3.506195,-53.908756
249,100.046478,29.513624,4.506276,-53.913052
250,100.056793,29.513582,5.506357,-53.917255
251,100.067108,29.513538,6.506440,-53.921577
252,100.077415,29.513494,7.505784,-53.925812
253,100.087730,29.513449,8.505868,-53.930172
254,100.098045,29.513403,9.505954,-53.934437
255,100.108360,29.513355,10.506040,-53.938828
256,100.118675,29.513308,11.506127,-53.943127
257,100.128990,29.513260,12.506215,-53.947334
258,100.139305,29.513210,13.506305,-53.951668
259,100.149620,29.513161,14.506394,-53.955910
260,100.159935,29.513109,15.506485,-53.960274
261,100.170242,29.513058,16.505838,-53.964550
262,100.180557,29.513006,17.505932,-53.968735
263,100.190872,29.512953,18.506025,-53.973042
264,100.201187,29.512899,19.506121,-53.977257
265,100.211502,29.512844,20.506216,-53.981598
266,100.221817,29.512789,21.506315,-53.985847
267,100.232132,29.512732,22.506413,-53.990219
268,100.242447,29.512674,23.506512,-53.994499
269,100.252754,29.512617,24.505873,-53.998695
270,100.263069,29.512558,25.505974,-54.003006
271,100.273384,29.512499,26.506079,-54.007233
272,100.283699,29.512438,27.506182,-54.011581
273,100.294014,29.512377,28.506287,-54.015835
274,100.304329,29.512316,29.506395,-54.020004
275,100.314644,29.512253,30.506502,-54.024292
276,100.324951,29.512188,31.505871,-54.028706
277,100.335266,29.512125,32.505981,-54.032818
278,100.345581,29.512058,33.506092,-54.037258
279,100.355896,29.511993,34.506207,-54.041401
280,100.366211,29.511927,35.506321,-54.045666
281,100.376526,29.511858,36.506439,-54.050053
282,100.386841,29.511791,37.506550,-54.054138
283,100.397148,29.511721,38.505932,-54.058559
284,100.407463,29.511652,39.506050,-54.062675
285,100.417778,29.511581,40.506172,-54.066914
286,100.428093,29.511509,41.506294,-54.071274
287,100.438408,29.511436,42.506416,-54.075546
288,100.448723,29.511364,43.506542,-54.079727
289,100.459030,29.511290,44.505928,-54.084034
290,100.469345,29.511215,45.506058,-54.088245
291,100.479660,29.511139,46.506187,-54.092583
292,100.489975,29.511063,47.506321,-54.096828
293,100.500290,29.510986,48.506454,-54.100986
294,99.499817,29.523769,-48.489971,-52.684101
295,99.510132,29.523767,-47.490005,-52.688614
296,99.520447,29.523767,-46.490032,-52.692825
297,99.530769,29.523766,-45.489319,-52.697155
298,99.541084,29.523762,-44.489353,-52.701611
299,99.551399,29.523758,-43.489384,-52.705971
300,99.561714,29.523754,-42.489410,-52.710247
301,99.572029,29.523748,-41.489441,-52.714645
302,99.582344,29.523743,-40.489471,-52.718948
303,99.592659,29.523737,-39.489498,-52.723167
304,99.602974,29.523729,-38.489532,-52.727505
305,99.613289,29.523720,-37.489559,-52.731964
306,99.623604,29.523712,-36.489586,-52.736126
307,99.633919,29.523701,-35.489616,-52.740616
308,99.644234,29.523691,-34.489643,-52.744808
309,99.654549,29.523680,-33.489674,-52.749123
310,99.664864,29.523666,-32.489700,-52.753559
