Site_ID,Period,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
178,0.000000,0.080837,0.189736,0.182314,0.090822,0.054699,0.067823,0.061450,0.123656,0.095076,0.038026
179,0.000000,0.093190,0.199853,0.143782,0.097338,0.099730,0.071856,0.045465,0.148366,0.113023,0.034868
180,0.000000,0.119562,0.145348,0.317725,0.090780,0.097663,0.082003,0.055305,0.111742,0.131090,0.026221
181,0.000000,0.097467,0.141073,0.176952,0.077930,0.081292,0.120200,0.034748,0.102282,0.060037,0.040621
182,0.000000,0.106477,0.099215,0.206974,0.136115,0.067395,0.111425,0.042348,0.100397,0.112712,0.040590
183,0.000000,0.033562,0.092834,0.136846,0.120281,0.134985,0.124767,0.065604,0.205374,0.096997,0.046081
184,0.000000,0.065524,0.128237,0.219550,0.094404,0.061648,0.098515,0.043461,0.165328,0.110094,0.042849
185,0.000000,0.046868,0.116055,0.216690,0.060678,0.071492,0.081786,0.038705,0.157713,0.104055,0.048709
186,0.000000,0.042390,0.092001,0.331194,0.071498,0.086342,0.037920,0.042967,0.306866,0.150589,0.081892
187,0.000000,0.049544,0.081851,0.167495,0.108850,0.111064,0.068606,0.059769,0.294454,0.121188,0.046542
188,0.000000,0.048599,0.081290,0.175612,0.087370,0.141056,0.070945,0.060814,0.301595,0.240578,0.019541
189,0.000000,0.028711,0.110557,0.142165,0.109730,0.133818,0.097686,0.063703,0.174375,0.281343,0.019811
190,0.000000,0.039942,0.149685,0.148145,0.166438,0.124824,0.087336,0.056338,0.190521,0.123552,0.015028
191,0.000000,0.041974,0.087303,0.147785,0.142817,0.116084,0.059475,0.055738,0.192825,0.119224,0.013454
192,0.000000,0.065620,0.055520,0.145626,0.200258,0.104666,0.072373,0.082525,0.218035,0.085106,0.017608
193,0.000000,0.047912,0.130182,0.220588,0.169236,0.116272,0.069028,0.065119,0.191263,0.075310,0.022378
194,0.000000,0.059748,0.098255,0.128819,0.154389,0.189179,0.063603,0.056336,0.101130,0.084483,0.022987
195,0.000000,0.082421,0.202902,0.207348,0.135760,0.168254,0.058557,0.049948,0.126760,0.112195,0.021111
196,0.000000,0.067288,0.086167,0.257095,0.187413,0.127424,0.034151,0.056288,0.099125,0.108962,0.029132
197,0.000000,0.052180,0.088472,0.053551,0.162241,0.144071,0.117062,0.098863,0.173101,0.056277,0.027288
198,0.000000,0.062680,0.086182,0.116181,0.129072,0.356052,0.043520,0.052314,0.141163,0.037940,0.026956
199,0.000000,0.039863,0.157187,0.081604,0.142000,0.127248,0.070887,0.070319,0.118498,0.064590,0.026546
200,0.000000,0.051845,0.123426,0.117650,0.138436,0.110307,0.085268,0.126047,0.111199,0.075645,0.026878
